Kode PTN,Nama PTN,Kode Prodi,Nama Prodi,Jenjang,Daya Tampung 2025,Peminat 2024,Jenis Portofolio,Link Detail
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,84,411,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111001&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,Sarjana,98,606,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111002&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,Sarjana,42,220,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111003&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,Sarjana,63,160,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111004&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,Sarjana,56,294,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111005&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,Sarjana,56,221,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111006&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,Sarjana,42,183,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111007&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,Sarjana,56,299,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111008&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,Sarjana,46,117,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111009&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,56,109,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111010&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111011,TEKNIK PERTANIAN,Sarjana,56,171,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111011&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111012,PENDIDIKAN BIOLOGI,Sarjana,42,194,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111012&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111013,PENDIDIKAN MATEMATIKA,Sarjana,42,173,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111013&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111014,PENDIDIKAN FISIKA,Sarjana,42,59,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111014&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111015,PENDIDIKAN KIMIA,Sarjana,42,55,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111015&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111016,PENDIDIKAN DOKTER,Sarjana,88,1859,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111016&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111017,ILMU KEPERAWATAN,Sarjana,126,1313,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111017&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111018,PENDIDIKAN DOKTER GIGI,Sarjana,35,858,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111018&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111019,MATEMATIKA,Sarjana,28,50,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111019&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111020,FISIKA,Sarjana,28,14,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111020&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111021,KIMIA,Sarjana,28,58,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111021&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111022,BIOLOGI,Sarjana,42,120,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111022&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111023,ILMU KELAUTAN,Sarjana,56,132,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111023&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111024,BUDIDAYA PERAIRAN,Sarjana,56,71,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111024&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111025,TEKNIK INDUSTRI,Sarjana,42,445,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111025&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111026,INFORMATIKA,Sarjana,42,1219,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111&prodi=111026&jenis=0
